consonant	hyper_place	place	manner	voice
ts	coronal	alveolar	affricate	voiceless
l	coronal	alveolar	approximant	voiced
s	coronal	alveolar	fricative	voiceless
n	coronal	alveolar	nasal	voiced
d	coronal	alveolar	plosive	voiced
t	coronal	alveolar	plosive	voiceless
r	coronal	alveolar	trill	voiced
z	coronal	alveolar	fricative	voiced
β	labial	bilabial	fricative	voiced
m	labial	bilabial	nasal	voiced
b	labial	bilabial	plosive	voiced
p	labial	bilabial	plosive	voiceless
h	laryngeal	ɡlottal	fricative	voiceless
ʔ	laryngeal	ɡlottal	plosive	voiceless
f	labial	labiodental	fricative	voiceless
w	dorsal	labiovelar	approximant	voiced
j	dorsal	palatal	approximant	voiced
dʒ	coronal	postalveolar	affricate	voiced
tʃ	coronal	postalveolar	affricate	voiceless
ʒ	coronal	postalveolar	fricative	voiced
ʃ	coronal	postalveolar	fricative	voiceless
ɣ	dorsal	velar	fricative	voiced
x	dorsal	velar	fricative	voiceless
ŋ	dorsal	velar	nasal	voiced
ɡ	dorsal	velar	plosive	voiced
k	dorsal	velar	plosive	voiceless
