order,file,clip,lang,status
1,2109,random-1,tseltal,complete
2,2109,random-4,tseltal,complete
3,7326,random-3,tseltal,complete
4,7326,random-4,tseltal,complete
5,8179,random-2,tseltal,complete
6,8179,random-6,tseltal,complete
7,8787,random-3,tseltal,complete
8,8787,random-7,tseltal,complete
9,0456,random-6,tseltal,complete
10,0456,random-7,tseltal,complete
11,1188,random-5,tseltal,complete
12,1188,random-8,tseltal,complete
13,1991,random-8,tseltal,complete
14,1991,random-2,tseltal,complete
15,3591,random-3,tseltal,complete
16,3591,random-8,tseltal,complete
17,5147,random-6,tseltal,complete
18,5147,random-1,tseltal,complete
19,6107,random-6,tseltal,complete
20,6107,random-1,tseltal,complete
21,7273,random-3,tseltal,complete
22,7273,random-6,tseltal,complete
23,7439,random-9,tseltal,complete
24,7439,random-1,tseltal,complete
25,9415,random-8,tseltal,complete
26,9415,random-1,tseltal,complete
27,0684,random-9,tseltal,complete
28,0684,random-5,tseltal,complete
29,0909,random-7,tseltal,complete
30,0909,random-4,tseltal,complete
31,1338,random-4,tseltal,complete
32,1338,random-5,tseltal,complete
33,3214,random-8,tseltal,complete
34,3214,random-9,tseltal,complete
35,4935,random-4,tseltal,complete
36,4935,random-5,tseltal,complete
37,6028,random-3,tseltal,complete
38,6028,random-7,tseltal,complete
39,6964,random-8,tseltal,complete
40,6964,random-5,tseltal,complete
41,9592,random-1,tseltal,complete
42,9592,random-5,tseltal,complete
43,6934,random-4,yeli,complete
44,6934,random-5,yeli,complete
45,1143,random-7,yeli,complete
46,1143,random-9,yeli,complete
47,8018,random-5,yeli,complete
48,8018,random-8,yeli,complete
49,2977,random-7,yeli,complete
50,2977,random-2,yeli,complete
51,4624,random-4,yeli,complete
52,4624,random-7,yeli,complete
53,5623,random-4,yeli,complete
54,5623,random-3,yeli,complete
55,8274,random-9,yeli,complete
56,8274,random-7,yeli,complete
57,1504,random-2,yeli,complete
58,1504,random-6,yeli,complete
59,3446,random-7,yeli,complete
60,3446,random-3,yeli,complete
61,5139,random-2,yeli,complete
62,5139,random-9,yeli,complete
63,7035,random-4,yeli,complete
64,7035,random-7,yeli,complete
65,9562,random-2,yeli,complete
66,9562,random-1,yeli,complete
